,Name_FG,Tm,mean_batspeed,mean_swinglength,attack_angle,PA,AB,AVG,OBP,SLG,OPS,wOBA,wRC+,Name_SC,batter_cluster
436,Oliver Dunn,MIL,73.9531914893617,7.342553191489362,7.655520492540494,104,95,0.221052631,0.281553398,0.315789473,0.597342871,0.2662219329945092,68.48006350662229,"Dunn, Oliver",6
437,Jarren Duran,BOS,73.71796536796536,7.555194805194805,9.124738234410252,735,671,0.284649776,0.341961852,0.491803278,0.83376513,0.3568673902286514,129.02292667113866,"Duran, Jarren",6
438,Tommy Edman-L,LAD,68.19375,6.559821428571429,9.752162304038556,117,105,0.18095238,0.256410256,0.266666666,0.523076922,0.2377607674680204,51.39425263279139,"Edman, Tommy",8
439,Xavier Edwards-L,MIA,63.62993197278912,6.202721088435374,11.67313132216252,209,185,0.34054054,0.401913875,0.443243243,0.845157118,0.3670684411548651,134.10676824195636,"Edwards, Xavier",8
440,Dominic Fletcher,CHW,66.71794871794872,6.606410256410256,5.5213784932602525,241,223,0.206278026,0.25210084,0.255605381,0.507706221,0.2268369610299541,42.84120011110204,"Fletcher, Dominic",8
441,Estevan Florial,CLE,73.31698113207547,7.090566037735849,15.893649853331452,111,98,0.173469387,0.263636363,0.367346938,0.630983301,0.2767838217995383,79.72938615870858,"Florial, Estevan",6
442,Mike Ford,CIN,69.74090909090908,6.759090909090909,18.47359398705053,62,60,0.15,0.177419354,0.233333333,0.410752687,0.1804799274090797,4.667413183345156,"Ford, Mike",8
443,Jake Fraley,CIN,71.34831460674157,6.801498127340824,10.25457777373254,382,350,0.277142857,0.329842931,0.385714285,0.715557216,0.3139837262518118,94.52462097581216,"Fraley, Jake",5
444,Adam Frazier,KCR,66.46542553191489,6.840957446808511,14.07572576785439,294,262,0.202290076,0.281786941,0.293893129,0.57568007,0.2613059820997755,63.129985191686686,"Frazier, Adam",8
445,Freddie Freeman,LAD,69.65452538631347,6.771743929359824,18.85830868739029,638,542,0.282287822,0.377742946,0.47601476,0.853757706,0.365357109492079,137.2753370528749,"Freeman, Freddie",8
