Name_FG,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,key_FG,key_MLB,Name_SC,year,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,f_strike_percent
Garrett Cooper,2 Tms,36,116,107,22,15,5,1,1,6,11,7,0,35,2,0,0,3,0,0,0.205607476,0.060344827,0.301724137,0.2,0.267241379,0.29906542,0.566306799,0.093457944,0.295774647,8.274230566312454,-5.295225742767671,0.2534630134187896,57.694447110896135,1.208333333,0.263888888,0.402777777,0.333333333,0.041666666,0.041666666,0.068965517,0.0,0.36111111,0.34722222,0.29166667,0.18055556,0.54166667,0.27777778,15279.0,643265.0,"Cooper, Garrett",2024.0,57.2,19.5,37.0,43.7,56.3,38.0,87.0,52.2,235.0,73.1,5.8,40.0,256.0,111.0,450.0,80.5,24.0,123.0,47.8,215.0,45.1,203.0,29.5,46.7,63.8
Jeff McNeil,NYM,125,472,424,101,63,26,0,12,57,44,35,1,68,9,3,1,6,5,1,0.238207547,0.074152542,0.144067796,0.514705882,0.307855626,0.384433962,0.692289588,0.146226415,0.256484149,52.69723482901775,-2.51641498034276,0.3035550645057191,97.4935805335597,0.952380952,0.193820224,0.393258426,0.412921348,0.108843537,0.081632653,0.05,0.5,0.44166667,0.37222222,0.18611111,0.19166667,0.50277778,0.30555556,15362.0,643446.0,"McNeil, Jeff",2024.0,78.4,11.1,30.7,35.2,64.8,89.0,253.0,48.2,825.0,88.8,7.3,202.0,1014.0,410.0,1711.0,87.9,77.0,695.0,51.8,886.0,44.0,753.0,17.5,55.4,60.7
Kris Bryant,COL,37,155,133,29,22,5,0,2,9,15,13,0,48,8,1,0,6,0,0,0.218045112,0.083870967,0.309677419,0.270833333,0.322580645,0.300751879,0.623332524,0.082706767,0.321428571,15.243416207714832,-2.8881848949353337,0.2870278969887764,69.7509675674735,0.969696969,0.244186046,0.372093023,0.38372093,0.151515151,0.06060606,0.09375,0.0,0.5,0.31395349,0.18604651,0.19767442,0.52325581,0.27906977,15429.0,592178.0,"Bryant, Kris",2024.0,66.5,23.8,31.2,61.4,38.6,62.0,101.0,53.3,324.0,83.3,6.9,72.0,313.0,173.0,608.0,76.2,45.0,189.0,46.7,284.0,43.9,267.0,36.9,47.7,61.9
Hunter Renfroe,KCR,116,424,385,88,55,18,0,15,44,52,36,0,84,2,1,0,10,1,1,0.228571428,0.08490566,0.198113207,0.428571428,0.297169811,0.392207792,0.689377603,0.163636364,0.2543554,46.82310644049462,-2.7755959306258333,0.3020456982952244,91.7871335364194,0.856115107,0.145695364,0.394039735,0.4602649,0.129496402,0.107913669,0.033613445,0.0,0.50331126,0.32119205,0.17549669,0.22516556,0.47019868,0.30463576,15464.0,592669.0,"Renfroe, Hunter",2024.0,62.7,15.3,26.3,42.7,57.3,93.0,218.0,50.2,829.0,73.3,7.9,186.0,848.0,455.0,1652.0,84.7,79.0,516.0,49.8,823.0,42.3,698.0,23.4,44.4,60.6
J.P. Crawford,SEA,105,451,392,79,52,16,2,9,55,37,52,0,102,6,1,0,4,5,0,0.201530612,0.115299334,0.226164079,0.509803921,0.303769401,0.321428571,0.625197972,0.119897959,0.24822695,42.94715504322343,-9.809955261907046,0.2831537932355758,89.34629051768465,1.257142857,0.179930795,0.456747404,0.363321799,0.085714285,0.085714285,0.045454545,0.5,0.32646048,0.41237113,0.26116838,0.19243986,0.51890034,0.28865979,15491.0,641487.0,"Crawford, J.P.",2024.0,62.0,15.8,18.2,37.0,63.0,61.0,165.0,47.6,909.0,81.2,7.2,219.0,1176.0,429.0,1911.0,83.7,98.0,621.0,52.4,1002.0,44.8,856.0,20.2,41.1,60.3
Jamie Westbrook,BOS,21,48,40,6,2,2,0,2,4,7,4,0,14,1,2,0,0,0,0,0.15,0.083333333,0.291666666,0.285714285,0.234042553,0.35,0.584042553,0.2,0.153846153,3.3707926065447524,-2.2441548316953,0.2520904426879071,55.32068205121127,0.692307692,0.214285714,0.321428571,0.464285714,0.076923076,0.153846153,0.111111111,0.0,0.35714286,0.39285714,0.25,0.10714286,0.57142857,0.32142857,15504.0,642197.0,"Westbrook, Jamie",2024.0,64.4,22.4,30.9,50.0,50.0,17.0,34.0,55.0,110.0,78.9,9.5,28.0,111.0,50.0,200.0,77.6,13.0,58.0,45.0,90.0,42.0,84.0,32.6,46.0,64.6
Amed Rosario,3 Tms,101,346,332,93,69,18,3,3,29,32,9,0,73,4,1,0,10,13,5,0.280120481,0.02601156,0.210982658,0.123287671,0.306358381,0.379518072,0.685876453,0.099397591,0.350194552,37.33354027411272,-3.1408725098676533,0.2989004953748229,96.17568021594118,1.847222222,0.211538461,0.511538461,0.276923076,0.111111111,0.041666666,0.17293233,0.0,0.33461538,0.38076923,0.28461538,0.2,0.55,0.25,15518.0,642708.0,"Rosario, Amed",2024.0,72.6,14.6,38.8,42.0,58.0,102.0,243.0,51.7,626.0,80.5,6.4,127.0,674.0,307.0,1210.0,85.4,62.0,425.0,48.3,585.0,43.8,531.0,24.6,55.2,63.9
Mike Ford,CIN,17,62,60,9,7,0,1,1,2,4,2,0,15,0,0,0,1,0,0,0.15,0.032258064,0.241935483,0.133333333,0.177419354,0.233333333,0.410752687,0.083333333,0.181818181,0.7804792730109007,-6.4721611680491655,0.1804799274090797,4.667413183345156,1.052631578,0.133333333,0.444444444,0.422222222,0.157894736,0.052631578,0.0,0.0,0.35555556,0.4,0.24444444,0.22222222,0.53333333,0.24444444,15585.0,645801.0,"Ford, Mike",2024.0,72.3,23.5,28.2,30.3,69.7,10.0,33.0,51.1,117.0,92.3,5.7,28.0,119.0,50.0,229.0,76.5,19.0,81.0,48.9,112.0,41.5,95.0,25.4,49.8,67.7
Aaron Judge,NYY,158,704,559,180,85,36,1,58,122,144,133,20,171,9,2,0,22,10,0,0.322003577,0.188920454,0.242897727,0.777777777,0.458036984,0.701252236,1.15928922,0.379248659,0.367469879,176.15959543642597,93.8070330089052,0.4757340011100992,218.4253797567829,0.661111111,0.233333333,0.305128205,0.461538461,0.055555555,0.322222222,0.084033613,0.0,0.4,0.34871795,0.25128205,0.07179487,0.45128205,0.47692308,15640.0,592450.0,"Judge, Aaron",2024.0,67.4,22.6,18.7,57.3,42.7,161.0,281.0,52.1,1502.0,81.1,7.0,392.0,1515.0,689.0,2885.0,77.3,210.0,930.0,47.9,1380.0,41.1,1184.0,30.7,42.0,52.6
Dominic Smith,2 Tms,92,307,275,64,36,22,0,6,33,34,28,0,76,4,0,0,7,1,1,0.232727272,0.091205211,0.247557003,0.368421052,0.312703583,0.378181818,0.690885401,0.145454546,0.300518134,34.7762282749426,-1.136039715467728,0.3055814190097274,92.72428989558924,1.038461538,0.201005025,0.407035175,0.391959798,0.038461538,0.076923076,0.024691358,0.0,0.41708543,0.35678392,0.22613065,0.13065327,0.55276382,0.31658291,15653.0,642086.0,"Smith, Dominic",2024.0,65.1,19.2,27.0,39.1,60.9,66.0,169.0,51.8,627.0,75.3,7.7,227.0,670.0,263.0,1211.0,80.8,73.0,380.0,48.2,584.0,45.3,548.0,25.3,45.3,65.8
