Name_FG,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,key_FG,key_MLB,Name_SC,year,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,f_strike_percent
David Peralta,SDP,89,260,236,63,44,11,0,8,35,28,22,0,54,2,0,0,3,2,0,0.266949152,0.084615384,0.207692307,0.407407407,0.334615384,0.415254237,0.749869621,0.148305085,0.316091954,34.394955836632825,3.980657212832546,0.3292012595213376,114.91838805918708,1.535714285,0.219780219,0.472527472,0.307692307,0.071428571,0.142857142,0.03488372,0.0,0.37912088,0.37912088,0.24175824,0.15934066,0.52197802,0.31868132,2136.0,444482.0,"Peralta, David",2024.0,70.6,16.9,32.6,50.6,49.4,87.0,172.0,52.0,527.0,73.1,6.6,149.0,594.0,211.0,1014.0,83.1,58.0,344.0,48.0,487.0,46.7,474.0,28.1,50.9,69.6
Tommy Pham,3 Tms,116,478,440,109,77,20,3,9,49,39,35,0,106,2,1,0,5,7,3,0.247727272,0.073221757,0.221757322,0.330188679,0.30543933,0.368181818,0.673621148,0.120454546,0.306748466,50.6768768579205,-5.238641381220013,0.2965624073060486,90.89166733894564,1.309734513,0.220895522,0.441791044,0.337313432,0.115044247,0.079646017,0.054054054,0.0,0.37014925,0.34328358,0.28656716,0.14626866,0.53432836,0.31940299,2967.0,502054.0,"Pham, Tommy",2024.0,59.8,15.9,18.7,46.2,53.8,78.0,169.0,47.0,903.0,69.5,7.9,204.0,1075.0,528.0,1923.0,84.1,97.0,610.0,53.0,1020.0,42.2,811.0,22.5,40.5,61.9
Anthony Rizzo,NYY,92,375,337,77,57,12,0,8,38,35,27,0,65,9,2,0,7,0,0,0.228486646,0.072,0.173333333,0.415384615,0.301333333,0.335311572,0.636644905,0.106824926,0.259398496,36.20359200949115,-7.663184851759248,0.2847893614768982,84.11102083124227,1.263157894,0.215328467,0.437956204,0.346715328,0.189473684,0.084210526,0.041666666,0.0,0.44890511,0.27737226,0.27372263,0.20072993,0.55839416,0.24087591,3473.0,519203.0,"Rizzo, Anthony",2024.0,65.9,10.6,33.6,35.1,64.9,88.0,251.0,52.1,746.0,84.3,6.2,233.0,754.0,367.0,1432.0,89.4,48.0,452.0,47.9,686.0,41.8,598.0,19.3,49.1,60.3
Jason Heyward,2 Tms,84,258,228,48,24,12,2,10,33,37,22,2,53,4,3,0,3,5,0,0.210526315,0.085271317,0.205426356,0.415094339,0.287937743,0.412280701,0.700218444,0.201754386,0.226190476,28.13754255099702,-2.0427999295432584,0.3002106675914689,94.32505667309476,1.559322033,0.151685393,0.516853932,0.331460674,0.118644067,0.169491525,0.010869565,0.0,0.56179775,0.29775281,0.14044944,0.1741573,0.56741573,0.25842697,4940.0,518792.0,"Heyward, Jason",2024.0,68.1,13.9,32.2,44.1,55.9,75.0,170.0,51.6,528.0,64.3,6.8,186.0,570.0,214.0,1024.0,86.1,47.0,338.0,48.4,496.0,43.0,440.0,24.0,49.6,63.7
Giancarlo Stanton,NYY,114,459,417,97,50,20,0,27,49,72,38,2,143,2,2,0,17,0,0,0.232613908,0.082788671,0.31154684,0.265734265,0.298474945,0.474820143,0.773295088,0.242206235,0.281124497,60.97745008401751,7.284515205847018,0.3298972602485306,115.84083800562564,0.88429752,0.173913043,0.387681159,0.438405797,0.173553719,0.223140495,0.028037383,0.0,0.43478261,0.35507246,0.21014493,0.18115942,0.37681159,0.44202899,4949.0,519317.0,"Stanton, Giancarlo",2024.0,63.6,25.1,31.0,52.0,48.0,153.0,294.0,51.8,947.0,72.2,5.9,222.0,992.0,438.0,1831.0,74.9,141.0,561.0,48.2,882.0,43.0,786.0,34.4,46.8,58.6
Justin Turner,2 Tms,139,539,460,119,84,24,0,11,59,55,59,2,95,13,7,0,16,0,2,0.258695652,0.109461966,0.176252319,0.621052631,0.354359925,0.382608695,0.73696862,0.123913043,0.299168975,70.16775145710807,7.116570848537485,0.3265532150836852,116.63779364930164,0.775641025,0.255376344,0.325268817,0.419354838,0.089743589,0.07051282,0.049586776,0.0,0.40860215,0.34408602,0.24731183,0.14516129,0.56182796,0.29301075,5235.0,457759.0,"Turner, Justin",2024.0,65.7,11.5,25.1,31.3,68.7,91.0,291.0,49.9,1158.0,77.5,7.3,164.0,1560.0,470.0,2320.0,88.5,88.0,763.0,50.1,1162.0,43.3,1005.0,17.0,45.4,57.7
Brandon Crawford,STL,27,80,71,12,6,5,0,1,5,4,8,0,26,1,0,0,0,0,0,0.169014084,0.1,0.325,0.307692307,0.2625,0.28169014,0.54419014,0.112676056,0.25,5.358909922405834,-3.9993358079942514,0.2480667985975742,58.100342758658805,1.1875,0.222222222,0.422222222,0.355555555,0.0625,0.0625,0.0,0.0,0.55555556,0.31111111,0.13333333,0.13333333,0.57777778,0.28888889,5343.0,543063.0,"Crawford, Brandon",2024.0,71.8,23.1,29.0,66.7,33.3,30.0,45.0,48.7,155.0,86.7,9.4,64.0,172.0,54.0,321.0,76.9,27.0,117.0,51.3,163.0,41.5,132.0,35.8,51.4,68.8
Freddie Freeman,LAD,147,638,542,153,94,35,2,22,81,89,78,9,100,10,8,0,13,9,2,0.282287822,0.122257053,0.156739811,0.78,0.377742946,0.47601476,0.853757706,0.193726938,0.306074766,102.96599371057994,28.33398401063927,0.365357109492079,137.2753370528749,1.0,0.226666666,0.386666666,0.386666666,0.028735632,0.126436781,0.022988505,0.0,0.35333333,0.33555556,0.31111111,0.12444444,0.55111111,0.32444444,5361.0,518692.0,"Freeman, Freddie",2024.0,73.7,16.6,26.6,29.0,71.0,101.0,348.0,51.8,1307.0,83.5,6.7,321.0,1472.0,562.0,2522.0,83.4,149.0,896.0,48.2,1215.0,42.9,1082.0,20.2,49.4,60.3
Jose Altuve,HOU,153,682,628,185,134,31,0,20,94,65,47,2,119,7,0,0,15,22,7,0.294585987,0.068914956,0.174486803,0.394957983,0.350439882,0.439490445,0.789930327,0.144904458,0.337423312,98.47424143025732,18.695196578596605,0.344237520589548,127.47955141816854,1.253012048,0.245967741,0.419354838,0.334677419,0.078313253,0.120481927,0.081730769,0.692307692,0.55599214,0.30255403,0.14145383,0.1611002,0.5540275,0.2848723,5417.0,514888.0,"Altuve, Jose",2024.0,68.6,12.7,37.3,36.3,62.7,182.0,501.0,54.7,1343.0,76.0,7.5,352.0,1282.0,651.0,2454.0,86.5,97.0,762.0,45.3,1111.0,41.1,1008.0,22.1,51.5,64.6
Kyle Higashioka,SDP,79,263,246,54,26,10,1,17,29,45,15,0,74,0,1,1,3,2,0,0.219512195,0.05703422,0.281368821,0.202702702,0.263358778,0.475609756,0.738968534,0.256097561,0.237179487,31.550773392586176,0.7855405538958948,0.3138900660831509,104.61290535193828,0.533333333,0.192982456,0.280701754,0.526315789,0.1,0.188888888,0.0625,0.0,0.51724138,0.3045977,0.17816092,0.16091954,0.44252874,0.39655172,5517.0,543309.0,"Higashioka, Kyle",2024.0,64.8,16.9,28.1,45.3,53.3,68.0,150.0,50.2,534.0,72.2,7.4,137.0,547.0,288.0,1062.0,82.5,58.0,343.0,49.8,529.0,40.5,431.0,25.6,46.4,60.5
Avisail Garcia,MIA,18,51,50,12,9,1,0,2,4,2,1,0,13,0,0,0,4,0,0,0.24,0.019607843,0.25490196,0.076923076,0.25490196,0.38,0.63490196,0.14,0.285714285,4.484184808303537,-1.4816968448265182,0.2740822633107503,71.5206967084512,3.0,0.135135135,0.648648648,0.216216216,0.0,0.25,0.041666666,0.0,0.40540541,0.37837838,0.21621622,0.18918919,0.48648649,0.32432432,5760.0,541645.0,"García, Avisaíl",2024.0,84.6,11.7,36.8,68.6,31.4,24.0,35.0,51.1,95.0,92.3,7.0,36.0,110.0,34.0,186.0,88.3,9.0,77.0,48.9,91.0,34.9,65.0,29.5,60.2,62.7
Wilmer Flores,SFG,70,242,214,44,28,12,0,4,19,26,20,1,33,3,5,0,5,0,0,0.205607476,0.082644628,0.136363636,0.606060606,0.276859504,0.317757009,0.594616513,0.112149533,0.219780219,18.966389533254794,-9.342303801205462,0.2622147625412683,68.12208676001606,0.709302325,0.209677419,0.327956989,0.462365591,0.209302325,0.046511627,0.016393442,0.0,0.40860215,0.38709677,0.20430108,0.24731183,0.50537634,0.24731183,5827.0,527038.0,"Flores, Wilmer",2024.0,60.6,7.2,28.5,27.1,72.9,39.0,144.0,52.5,505.0,61.0,8.0,117.0,574.0,195.0,964.0,92.8,20.0,277.0,47.5,457.0,42.8,412.0,13.9,43.9,59.5
J.D. Martinez,NYM,120,495,434,102,61,24,1,16,46,69,49,0,141,6,2,0,17,0,0,0.235023041,0.098989898,0.284848484,0.34751773,0.3197556,0.405529953,0.725285553,0.170506912,0.308243727,61.202871714877546,3.298726258027017,0.3184588671701746,107.52486132501862,0.911290322,0.196610169,0.383050847,0.420338983,0.072580645,0.129032258,0.044247787,0.0,0.36949153,0.35254237,0.2779661,0.1220339,0.50508475,0.37288136,6184.0,502110.0,"Martinez, J.D.",2024.0,69.0,18.1,29.7,60.1,39.9,191.0,318.0,52.2,1071.0,87.7,7.5,181.0,1099.0,605.0,2052.0,81.9,123.0,678.0,47.8,982.0,40.7,836.0,31.5,48.5,64.6
Martin Maldonado,CHW,48,147,135,16,9,3,0,4,9,13,8,0,51,1,0,3,5,0,0,0.118518518,0.054421768,0.346938775,0.156862745,0.173611111,0.229629629,0.40324074,0.111111111,0.15,1.9665933820746824,-15.229183147535474,0.1814612290925449,10.922983618312015,0.738095238,0.13095238,0.369047619,0.5,0.119047619,0.095238095,0.0,0.0,0.47126437,0.37931034,0.14942529,0.1954023,0.48275862,0.32183908,6887.0,455117.0,"Maldonado, Martín",2024.0,64.1,23.8,31.6,65.4,34.6,53.0,81.0,46.0,256.0,63.6,7.9,33.0,329.0,150.0,556.0,75.6,46.0,193.0,54.0,301.0,42.7,238.0,36.1,49.3,72.8
Salvador Perez,KCR,158,652,590,160,105,28,0,27,58,104,44,9,129,11,6,0,17,0,0,0.27118644,0.067484662,0.19785276,0.341085271,0.330261136,0.455932203,0.786193339,0.184745763,0.302272727,89.30747447071532,13.037771767954624,0.3350238372046628,114.98462991383784,0.75,0.220556745,0.334047109,0.445396145,0.100961538,0.129807692,0.064102564,0.0,0.49464668,0.2869379,0.21841542,0.13704497,0.50107066,0.36188437,7304.0,521692.0,"Perez, Salvador",2024.0,77.3,18.3,42.9,41.0,59.0,229.0,559.0,56.6,1303.0,81.7,5.7,280.0,1125.0,660.0,2301.0,81.7,141.0,771.0,43.4,998.0,40.6,934.0,27.8,57.8,65.7
Travis d'Arnaud,ATL,95,341,307,73,42,16,0,15,40,48,24,0,89,6,4,0,8,1,0,0.237785016,0.070381231,0.260997067,0.269662921,0.302052785,0.436482084,0.738534869,0.198697068,0.280193236,42.252903575231294,2.363381149400932,0.3187901582186522,103.04128384158486,1.303797468,0.18018018,0.463963963,0.355855855,0.075949367,0.189873417,0.029126213,0.0,0.38288288,0.32432432,0.29279279,0.13004484,0.5470852,0.32286996,7739.0,518595.0,"d'Arnaud, Travis",2024.0,74.5,26.4,27.3,50.0,50.0,93.0,186.0,50.4,682.0,81.1,9.0,118.0,826.0,271.0,1353.0,73.6,132.0,500.0,49.6,671.0,43.8,592.0,32.8,50.7,66.0
Miguel Rojas,LAD,99,337,307,87,60,21,0,6,41,36,23,0,34,3,2,2,8,8,2,0.283387622,0.068249258,0.100890207,0.676470588,0.337313432,0.410423452,0.747736884,0.12703583,0.301115241,43.99158732956716,4.569977190256799,0.327027644328217,111.4769796603596,1.679487179,0.231617647,0.481617647,0.286764705,0.115384615,0.076923076,0.045801526,0.4,0.40794224,0.32129964,0.27075812,0.20577617,0.57039711,0.22382671,7802.0,500743.0,"Rojas, Miguel",2024.0,65.3,8.5,27.3,27.0,73.0,44.0,163.0,49.4,598.0,69.2,6.4,121.0,673.0,319.0,1211.0,90.8,34.0,400.0,50.6,613.0,43.4,526.0,13.9,46.5,57.9
Charlie Blackmon,COL,124,499,449,115,74,24,5,12,59,52,43,2,86,6,1,0,4,6,2,0.256124721,0.086172344,0.172344689,0.5,0.328657314,0.412026726,0.74068404,0.155902005,0.292613636,63.47495813787432,5.102900394503794,0.3228846777612774,93.88503887160977,0.892617449,0.223140495,0.366391184,0.410468319,0.140939597,0.080536912,0.067669172,1.0,0.45054945,0.35164835,0.1978022,0.22802198,0.48626374,0.28571429,7859.0,453568.0,"Blackmon, Charlie",2024.0,66.2,13.3,29.5,32.7,67.3,92.0,281.0,49.7,954.0,68.2,6.9,271.0,1190.0,365.0,1920.0,86.4,85.0,639.0,50.3,965.0,42.4,813.0,19.2,48.0,62.0
Matt Carpenter,STL,58,157,137,32,21,7,0,4,15,15,15,0,51,2,2,0,0,0,2,0.233576642,0.095541401,0.324840764,0.294117647,0.314102564,0.372262773,0.686365337,0.138686131,0.333333333,17.46230791339635,-0.9032493325138172,0.3030310074488322,95.09502290041354,0.575,0.26744186,0.26744186,0.465116279,0.15,0.1,0.04347826,0.5,0.39772727,0.36363636,0.23863636,0.22727273,0.48863636,0.28409091,8090.0,572761.0,"Carpenter, Matt",2024.0,62.2,19.2,20.3,62.5,37.5,40.0,64.0,47.3,316.0,66.0,7.0,78.0,380.0,171.0,669.0,80.4,42.0,219.0,52.7,352.0,44.2,295.0,28.9,42.5,54.1
Donovan Solano,SDP,95,309,283,81,60,13,0,8,31,35,22,0,65,3,1,0,6,2,1,0.286219081,0.071197411,0.210355987,0.338461538,0.343042071,0.41696113,0.760003201,0.130742049,0.345971563,41.84741698317444,5.701192849504113,0.3331028579894007,117.54443126774406,1.347222222,0.228310502,0.442922374,0.328767123,0.083333333,0.111111111,0.041237113,0.0,0.34703196,0.4109589,0.24200913,0.14611872,0.56621005,0.28767123,8623.0,456781.0,"Solano, Donovan",2024.0,63.8,13.6,29.6,45.9,54.1,84.0,183.0,48.5,618.0,69.2,8.4,110.0,733.0,347.0,1273.0,86.4,57.0,418.0,51.5,655.0,40.8,519.0,23.5,47.2,63.4
Paul Goldschmidt,STL,154,654,599,147,91,33,1,22,70,65,47,2,173,2,2,0,20,11,0,0.245409015,0.071865443,0.264525993,0.2716763,0.301538461,0.414023372,0.715561833,0.168614357,0.307881773,76.31600522846554,-0.1876536175551534,0.3098225554934254,99.66620026889004,1.202614379,0.212616822,0.429906542,0.357476635,0.071895424,0.143790849,0.065217391,0.0,0.4135514,0.3271028,0.25934579,0.10981308,0.49065421,0.39953271,9218.0,502671.0,"Goldschmidt, Paul",2024.0,65.1,22.1,29.5,39.7,60.3,156.0,393.0,49.0,1330.0,71.5,8.9,320.0,1507.0,639.0,2719.0,77.9,200.0,903.0,51.0,1387.0,43.8,1191.0,27.4,47.7,64.0
Starling Marte,NYM,93,370,335,90,67,13,3,7,46,40,27,1,81,3,2,3,8,16,1,0.268656716,0.072972972,0.218918918,0.333333333,0.326975476,0.388059701,0.715035177,0.119402985,0.333333333,44.137739349051,0.8558528459506026,0.3130529887689267,103.8863346088316,2.210526315,0.268,0.504,0.228,0.035087719,0.122807017,0.071428571,0.444444444,0.42471042,0.33976834,0.23552124,0.11196911,0.62548263,0.26254826,9241.0,516782.0,"Marte, Starling",2024.0,69.2,18.4,30.1,52.7,46.9,109.0,207.0,48.5,688.0,69.7,8.4,148.0,805.0,377.0,1417.0,81.0,93.0,505.0,51.5,730.0,42.5,602.0,28.4,50.2,65.9
Yan Gomes,CHC,30,96,91,14,10,2,0,2,7,7,2,0,36,1,1,1,2,0,0,0.153846153,0.020833333,0.375,0.055555555,0.178947368,0.241758241,0.420705609,0.087912088,0.222222222,1.5159904067500638,-9.71390446973004,0.1844597371000992,16.366165810684834,0.791666666,0.232142857,0.339285714,0.428571428,0.083333333,0.083333333,0.105263157,0.0,0.31578947,0.42105263,0.26315789,0.1754386,0.47368421,0.35087719,9627.0,543228.0,"Gomes, Yan",2024.0,72.8,22.3,44.0,54.3,45.7,44.0,81.0,49.1,184.0,91.7,9.6,18.0,232.0,88.0,375.0,77.7,31.0,139.0,50.9,191.0,40.3,151.0,34.1,58.7,63.5
Christian Vazquez,MIN,90,315,294,65,48,10,0,7,29,27,11,0,65,1,4,5,11,3,1,0.221088435,0.034920634,0.206349206,0.169230769,0.248387096,0.326530612,0.574917708,0.105442177,0.256637168,21.602679260393625,-15.245413303056711,0.2500467196587593,60.35457841765688,0.978494623,0.206896551,0.392241379,0.400862068,0.139784946,0.075268817,0.054945054,0.0,0.38655462,0.37815126,0.23529412,0.14285714,0.56302521,0.29411765,9774.0,543877.0,"Vázquez, Christian",2024.0,68.5,14.0,34.1,35.3,64.2,67.0,190.0,48.8,557.0,79.7,6.5,105.0,655.0,313.0,1141.0,86.0,56.0,400.0,51.2,584.0,43.8,500.0,20.8,51.7,69.2
Nolan Arenado,STL,152,635,578,157,118,23,0,16,70,71,44,2,92,5,7,0,15,2,2,0.271626297,0.069291338,0.144881889,0.478260869,0.324921135,0.394463667,0.719384802,0.12283737,0.295597484,76.05951885990382,1.7784433748531427,0.3136587862538386,102.24824652949398,1.010362694,0.212981744,0.395537525,0.39148073,0.155440414,0.082901554,0.066666666,0.0,0.46450304,0.35091278,0.18458418,0.18661258,0.54158215,0.27180527,9777.0,571448.0,"Arenado, Nolan",2024.0,63.9,9.8,30.0,32.7,67.3,121.0,370.0,50.4,1235.0,72.4,7.8,291.0,1394.0,554.0,2452.0,90.2,76.0,778.0,49.6,1217.0,42.2,1034.0,17.2,46.8,61.6
Andrew McCutchen,PIT,120,515,448,104,65,18,1,20,66,50,58,1,133,7,2,0,9,3,2,0.232142857,0.112621359,0.258252427,0.436090225,0.328155339,0.410714285,0.738869624,0.178571428,0.282828282,66.18151879251677,5.93781190306622,0.3245041865551054,105.4933599311112,0.977443609,0.170347003,0.410094637,0.419558359,0.127819548,0.150375939,0.084615384,0.0,0.41640379,0.38170347,0.20189274,0.17981073,0.47949527,0.34069401,9847.0,457705.0,"McCutchen, Andrew",2024.0,65.6,22.3,17.2,55.2,44.8,100.0,181.0,48.7,1054.0,80.2,8.2,205.0,1230.0,566.0,2163.0,77.7,162.0,727.0,51.3,1109.0,44.0,951.0,28.9,42.0,62.9
DJ LeMahieu,NYY,63,228,201,41,34,5,0,2,19,26,19,0,35,1,6,1,13,0,1,0.203980099,0.083333333,0.153508771,0.542857142,0.268722466,0.258706467,0.527428933,0.054726368,0.229411764,13.536541700281756,-13.134458631358488,0.2386048139454509,51.62386693224437,1.979591836,0.15116279,0.563953488,0.28488372,0.061224489,0.040816326,0.051546391,0.0,0.30057803,0.45086705,0.24855491,0.15028902,0.55491329,0.29479769,9874.0,518934.0,"LeMahieu, DJ",2024.0,59.5,8.2,29.1,37.5,62.5,45.0,120.0,48.9,413.0,65.8,9.0,80.0,530.0,172.0,845.0,91.1,21.0,257.0,51.1,432.0,42.1,356.0,17.5,44.6,61.0
Christian Bethancourt,2 Tms,47,147,139,29,17,7,0,5,18,22,5,0,36,1,0,2,2,3,0,0.208633093,0.034013605,0.244897959,0.138888888,0.24137931,0.366906474,0.608285784,0.158273381,0.244897959,11.561352743026312,-5.634423786583845,0.2633386632491802,65.8372085284152,1.205128205,0.131313131,0.474747474,0.393939393,0.102564102,0.128205128,0.021276595,0.333333333,0.41904762,0.36190476,0.21904762,0.12380952,0.58095238,0.2952381,10028.0,542194.0,"Bethancourt, Christian",2024.0,77.5,22.9,48.4,42.8,56.5,59.0,138.0,55.2,285.0,88.9,7.0,57.0,268.0,139.0,516.0,75.4,41.0,179.0,44.8,231.0,41.9,216.0,31.5,61.4,72.1
Mike Trout,LAA,29,126,109,24,11,1,2,10,17,14,16,1,27,1,0,0,0,6,1,0.220183486,0.126984126,0.214285714,0.592592592,0.325396825,0.541284403,0.866681228,0.321100917,0.194444444,20.34852960433335,5.609292578953217,0.365490749835968,139.1123855910432,0.434782608,0.195121951,0.243902439,0.560975609,0.086956521,0.217391304,0.1,0.0,0.3902439,0.26829268,0.34146341,0.20731707,0.45121951,0.34146341,10155.0,545361.0,"Trout, Mike",2024.0,63.6,15.5,18.6,40.0,60.0,20.0,50.0,46.9,269.0,77.8,7.8,64.0,379.0,68.0,574.0,84.5,30.0,194.0,53.1,305.0,43.2,248.0,20.5,42.5,58.4
Tucker Barnhart,ARI,31,96,81,14,11,3,0,0,13,6,13,0,31,0,0,2,0,1,0,0.172839506,0.135416666,0.322916666,0.419354838,0.287234042,0.209876543,0.497110585,0.037037037,0.28,5.693023197585582,-5.536871678894521,0.2385197408655856,48.57195502266468,2.09090909,0.276595744,0.489361702,0.234042553,0.09090909,0.0,0.0,0.0,0.42307692,0.42307692,0.15384615,0.15384615,0.69230769,0.15384615,10200.0,571466.0,"Barnhart, Tucker",2024.0,56.7,21.8,22.7,51.2,48.8,21.0,41.0,48.3,181.0,64.0,6.7,35.0,210.0,90.0,375.0,76.4,24.0,110.0,51.7,194.0,45.9,172.0,29.8,40.3,63.5
Jose Iglesias,NYM,77,291,270,91,70,16,1,4,39,26,12,1,39,8,1,0,4,6,2,0.337037037,0.041237113,0.134020618,0.307692307,0.381443298,0.448148148,0.829591446,0.111111111,0.381578947,46.13035242202106,12.089733577690746,0.3617972910404205,136.6945912717609,1.765625,0.237068965,0.487068965,0.275862068,0.125,0.0625,0.115044247,0.0,0.31034483,0.38362069,0.30603448,0.18103448,0.56465517,0.25431034,10231.0,578428.0,"Iglesias, Jose",2024.0,64.8,12.1,39.5,20.7,79.3,43.0,208.0,48.9,526.0,67.5,7.7,93.0,609.0,303.0,1075.0,87.9,43.0,356.0,51.1,549.0,43.6,469.0,15.2,52.5,63.1
Randal Grichuk,ARI,103,279,254,74,40,20,2,12,40,46,20,0,46,3,2,0,5,0,0,0.291338582,0.071684587,0.164874551,0.434782608,0.34767025,0.527559055,0.875229305,0.236220473,0.313131313,46.75070103555285,14.113819050782553,0.373031150269252,139.10735379046423,0.810526315,0.18095238,0.366666666,0.452380952,0.2,0.126315789,0.09090909,0.0,0.45238095,0.36666667,0.18095238,0.15714286,0.44761905,0.3952381,10243.0,545341.0,"Grichuk, Randal",2024.0,67.6,11.3,28.6,40.1,59.9,65.0,162.0,52.0,566.0,73.5,7.6,146.0,587.0,287.0,1088.0,88.7,40.0,353.0,48.0,522.0,38.6,420.0,20.4,47.3,58.1
Marcell Ozuna,ATL,162,688,606,183,113,31,0,39,96,104,74,2,170,3,4,0,23,1,0,0.301980198,0.107558139,0.247093023,0.435294117,0.378457059,0.54620462,0.924661679,0.244224422,0.359102244,127.1743104746382,46.693397193197455,0.3945021333485624,154.00063286835456,0.98816568,0.236363636,0.379545454,0.384090909,0.053254437,0.23076923,0.053892215,0.0,0.475,0.32727273,0.19772727,0.13863636,0.46136364,0.4,10324.0,542303.0,"Ozuna, Marcell",2024.0,72.5,22.6,26.5,50.4,49.6,214.0,425.0,55.9,1606.0,81.0,6.6,338.0,1553.0,722.0,2875.0,77.4,208.0,919.0,44.1,1268.0,40.5,1164.0,31.4,46.8,57.6
Jon Singleton,HOU,119,405,355,83,56,13,1,13,46,42,47,0,111,0,3,0,2,0,0,0.233802816,0.116049382,0.274074074,0.423423423,0.320987654,0.385915492,0.706903146,0.152112676,0.299145299,47.92751168813999,0.551392677989554,0.3118706068874877,104.7120033338566,0.95145631,0.186234817,0.396761133,0.417004048,0.058252427,0.126213592,0.051020408,0.0,0.39676113,0.36032389,0.24291498,0.17813765,0.56275304,0.25910931,10441.0,572138.0,"Singleton, Jon",2024.0,59.9,21.2,22.6,52.4,47.6,99.0,189.0,51.5,838.0,75.0,6.6,279.0,841.0,422.0,1626.0,78.8,100.0,472.0,48.5,788.0,44.7,727.0,30.1,40.7,56.5
Enrique Hernandez,LAD,121,393,362,83,55,16,0,12,44,42,27,0,77,0,3,1,13,0,0,0.229281767,0.06870229,0.195928753,0.35064935,0.280612244,0.372928176,0.65354042,0.143646409,0.257246376,38.04598906311347,-7.92639308747695,0.2851201274565288,83.2703482068112,0.811023622,0.195804195,0.36013986,0.444055944,0.094488188,0.094488188,0.038834951,0.0,0.37024221,0.37716263,0.25259516,0.12456747,0.52249135,0.35294118,10472.0,571771.0,"Hernández, Enrique",2024.0,69.0,17.3,26.4,39.2,60.3,74.0,189.0,47.1,715.0,84.6,8.6,150.0,876.0,371.0,1518.0,82.3,96.0,554.0,52.9,803.0,43.1,654.0,22.9,48.9,63.9
Gio Urshela,2 Tms,125,461,432,108,79,19,1,9,34,52,23,1,72,1,5,0,13,0,0,0.25,0.04989154,0.156182212,0.319444444,0.286334056,0.361111111,0.647445167,0.111111111,0.278089887,43.21052226721714,-10.71636875421335,0.2813197794167892,81.14010877018599,1.504504504,0.236263736,0.458791208,0.304945054,0.054054054,0.081081081,0.059880239,0.0,0.34520548,0.37808219,0.27671233,0.17534247,0.58082192,0.24383562,10681.0,570482.0,"Urshela, Gio",2024.0,72.7,15.8,36.4,29.6,70.4,91.0,307.0,49.9,843.0,78.8,8.1,206.0,961.0,379.0,1693.0,83.9,97.0,614.0,50.1,845.0,41.5,701.0,20.3,54.6,68.5
Adam Duvall,ATL,100,330,303,55,34,10,0,11,29,30,21,0,99,5,1,0,6,0,0,0.181518151,0.063636363,0.3,0.212121212,0.245454545,0.323432343,0.568886888,0.141914192,0.226804123,23.13492741762252,-15.467836220277832,0.2519425843701218,58.04828449775619,0.615384615,0.180487804,0.312195121,0.507317073,0.163461538,0.10576923,0.265625,0.0,0.52195122,0.30243902,0.17560976,0.22439024,0.43414634,0.34146341,10950.0,594807.0,"Duvall, Adam",2024.0,65.4,15.8,33.5,49.8,50.2,107.0,215.0,51.3,642.0,75.0,8.0,118.0,700.0,319.0,1252.0,84.2,63.0,399.0,48.7,610.0,43.8,548.0,27.7,49.0,63.9
Kevin Kiermaier,2 Tms,92,281,259,51,34,9,3,5,31,26,12,0,86,2,1,7,4,6,2,0.196911196,0.042704626,0.306049822,0.139534883,0.237226277,0.312741312,0.549967589,0.115830116,0.272189349,17.196027130726517,-15.674810997303783,0.2408609912343269,54.28529892576336,1.788461538,0.152046783,0.543859649,0.304093567,0.076923076,0.096153846,0.064516129,0.1,0.40331492,0.34254144,0.25414365,0.14917127,0.59668508,0.25414365,11038.0,595281.0,"Kiermaier, Kevin",2024.0,76.3,29.5,33.1,55.7,42.5,93.0,167.0,49.7,504.0,85.4,8.1,121.0,596.0,225.0,1020.0,69.2,115.0,390.0,50.3,511.0,44.3,450.0,37.5,54.9,64.8
Whit Merrifield,2 Tms,94,335,293,65,49,9,3,4,44,15,35,0,52,3,0,4,7,17,3,0.221843003,0.104477611,0.15522388,0.673076923,0.311178247,0.313993174,0.625171421,0.092150171,0.257383966,31.96020280897556,-7.227451187074802,0.2832089419451365,79.51704903672774,1.301204819,0.204166666,0.45,0.345833333,0.084337349,0.048192771,0.055555555,0.2,0.36734694,0.33061224,0.30204082,0.20816327,0.55918367,0.23265306,11281.0,593160.0,"Merrifield, Whit",2024.0,66.2,11.9,25.8,35.0,63.8,62.0,177.0,51.5,685.0,75.6,6.8,145.0,777.0,303.0,1330.0,87.8,51.0,427.0,48.5,645.0,41.6,553.0,18.7,45.4,63.6
